[35m[1mConsolidate compiler generated dependencies of target pointcloud_to_gridmap_node[0m
[  5%] Built target pointcloud_to_gridmap_node
[ 95%] Built target orbslam3
[100%] Built target rgbd_inertial_ros2
-- Install configuration: "Release"
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/lib/libDBoW2.so
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/lib/libg2o.so
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/lib/libsmall_gicp.so
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/lib/liborbslam3.so
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/lib/orbslam3/rgbd_inertial_ros2
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/lib/orbslam3/pointcloud_to_gridmap_node
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/lib/orbslam3/rgbd_inertial_ros2
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/lib/orbslam3/pointcloud_to_gridmap_node
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/ament_index/resource_index/package_run_dependencies/orbslam3
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/ament_index/resource_index/parent_prefix_path/orbslam3
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/environment/ament_prefix_path.sh
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/environment/ament_prefix_path.dsv
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/environment/path.sh
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/environment/path.dsv
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/local_setup.bash
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/local_setup.sh
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/local_setup.zsh
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/local_setup.dsv
-- Installing: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/package.dsv
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/ament_index/resource_index/packages/orbslam3
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/cmake/ament_cmake_export_dependencies-extras.cmake
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/cmake/orbslam3Config.cmake
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/cmake/orbslam3Config-version.cmake
-- Up-to-date: /home/zju/navigation/GeoFlowSlam/install/share/orbslam3/package.xml
